,Unnamed: 0,Make,Model,Year,Mileage (KM),Location,Transmission,Selling Condition,Colour,Price,Used Location,MPG
4430,4430,Kia,Rio,2015.0,37549.0,"C45, Lagos",Automatic,Registered,Black,3202000,Nigerian used,36
4431,4431,Mercedes-Benz,Ml350,2006.0,146507.0,"C45, Lagos",Automatic,Registered,Black,2810000,Nigerian used,20
4432,4432,Toyota,Camry,2003.0,330844.0,"C45, Lagos",Automatic,Registered,GREY,1242000,Nigerian used,26
4433,4433,Mercedes-Benz,Ml350,2006.0,120229.0,"C45, Lagos",Automatic,Registered,black,2270000,Nigerian used,20
4434,4434,Toyota,Highlander,2008.0,145970.0,"C45, ",Automatic,Registered,RED,3930000,Nigerian used,36
4435,4435,Toyota,Camry,2004.0,228668.0,"C45, ",Automatic,Registered,BLACK,1482500,Nigerian used,26
4436,4436,Toyota,Camry,2013.0,92318.0,"C45, Owerri",Automatic,Registered,Silver,5274000,Nigerian used,26
4437,4437,Acura,Mdx,2007.0,195122.0,"C45, Lagos",Automatic,Registered,Black,2586000,Nigerian used,22
4438,4438,Honda,Pilot,2005.0,186729.0,"C45, Abuja",Automatic,Registered,Grey,1802000,Nigerian used,23
4439,4439,Toyota,Avalon,2006.0,0.0,"C45, Abuja",Automatic,Registered,WHITE,1810000,Nigerian used,26
4440,4440,Mitsubishi,Outlander,2007.0,217852.0,"C45, Lagos",Automatic,Imported,0,2474000,Foreign used,26
4441,4441,Hyundai,Elantra,2008.0,268207.0,"C45, Abuja",Automatic,Registered,RED,1201250,Nigerian used,50
4442,4442,Toyota,Rav4,2007.0,122924.0,"C45, Lagos",Automatic,Registered,WHITE,2250000,Nigerian used,30
4443,4443,Ford,Edge,2013.0,110619.0,"C45, Lagos",Automatic,Imported,BLACK,4378000,Foreign used,24
4444,4444,Lexus,Es,2007.0,81341.0,"C45, ",Automatic,Imported,GREY,2382500,Foreign used,26
4445,4445,Peugeot,607,2005.0,50278.0,"C45, Kaduna",Automatic,Imported,0,2250000,Foreign used,0
4446,4446,Honda,Civic,2008.0,107223.0,"C45, Lagos",Manual,Registered,0,738000,Nigerian used,44
4447,4447,Honda,Pilot,2004.0,245088.0,"C45, Lagos",Automatic,Registered,GREEN,1466000,Nigerian used,23
4448,4448,Volkswagen,Jetta,2007.0,239547.0,"C45, Abuja",Manual,Registered,BLACK,794000,Nigerian used,44
4449,4449,Mercedes-Benz,Ml550,2007.0,105641.0,"C45, Lagos",Automatic,Registered,0,2922000,Nigerian used,16
4450,4450,Hyundai,Sonata,2011.0,132247.0,"C45, Ilorin",Automatic,Registered,0,2250000,Nigerian used,47
4451,4451,Toyota,Camry,2003.0,155913.0,"C45, Lagos",Automatic,Registered,Gold,1313750,Nigerian used,26
4452,4452,Mercedes-Benz,E500,2002.0,190826.0,"C45, Owerri",Automatic,Registered,Blue,1690000,Nigerian used,18
4453,4453,Ford,Edge,2014.0,111996.0,"C45, Lagos",Automatic,Registered,SILVER,3370000,Nigerian used,24
4454,4454,Nissan,Pathfinder,2007.0,28203.0,"C45, Port",Automatic,Registered,RED,1707500,Nigerian used,23
4455,4455,Acura,Tl,2009.0,77865.0,"C45, Lagos",Automatic,Imported,GRAY,4295000,Foreign used,23
4456,4456,Ford,Edge,2011.0,76902.0,"C45, Abuja",Automatic,Registered,Black,3930000,Nigerian used,24
4457,4457,GAC,GS5,2016.0,39874.0,"C45, Lagos",Automatic,Registered,Red,5645000,Nigerian used,0
4458,4458,Acura,Mdx,2005.0,126658.0,"C45, Lagos",Automatic,Imported,0,2213750,Foreign used,22
4459,4459,Toyota,Solara,2007.0,124075.0,"C45, Abuja",Automatic,Imported,RED,2270000,Foreign used,21
4460,4460,Toyota,Camry,1999.0,0.0,"C45, Abuja",Automatic,Registered,GREY,920000,Nigerian used,26
4461,4461,Land,Range,2012.0,88948.0,"C45, Abuja",Automatic,Registered,White,6770000,Nigerian used,18
4462,4462,Suzuki,XL-7,2002.0,214864.0,"C45, Lagos",Automatic,Imported,0,1130000,Foreign used,0
4463,4463,Ford,Fusion,2009.0,180463.0,"C45, Abuja",Automatic,Registered,SILVER,2495000,Nigerian used,23
4464,4464,Nissan,Pathfinder,2005.0,151027.0,"C45, Lagos",Automatic,Registered,grey,1145000,Nigerian used,23
4465,4465,Honda,Accord,2006.0,110214.0,"C45, Lagos",Automatic,Registered,0,1032500,Nigerian used,48
4466,4466,Ford,Escape,2013.0,91945.0,"C45, Lagos",Automatic,Imported,Black,5890000,Foreign used,30
4467,4467,Geely,CK,2011.0,17384.0,"C45, Lagos",Manual,Registered,BLUE,570000,Nigerian used,0
4468,4468,Ford,Escape,2004.0,338498.0,"C45, Abuja",Automatic,Registered,BLUE,638750,Nigerian used,30
4469,4469,Honda,Accord,2015.0,34788.0,"C45, Ibadan",Automatic,Registered,Black,5050000,Nigerian used,48
4470,4470,Nissan,Sunny,2011.0,174144.0,"C45, Abuja",Manual,Registered,RED,2250000,Nigerian used,0
4471,4471,Honda,Odyssey,2001.0,226073.0,"C45, Ibadan",Automatic,Registered,0,695000,Nigerian used,22
4472,4472,Acura,Mdx,2009.0,128301.0,"C45, Abuja",Automatic,Registered,Black,2270000,Nigerian used,22
4473,4473,Ford,Taurus,2013.0,130089.0,"C45, Abuja",Automatic,Registered,BLACK,2720000,Nigerian used,21
4474,4474,Toyota,Camry,2017.0,27088.0,"C45, Lagos",Automatic,Imported,RED,11210000,Foreign used,26
4475,4475,Toyota,Camry,2006.0,125375.0,"C45, Lagos",Automatic,Imported,BLACK,2045000,Foreign used,26
4476,4476,Mercedes-Benz,C180,2002.0,135508.0,"C45, ",Automatic,Imported,Silver,1802000,Foreign used,0
4477,4477,Mercedes-Benz,C300,2015.0,51053.0,"C45, Lagos",Automatic,Imported,SILVER,12330000,Foreign used,27
4478,4478,Mercedes-Benz,Ml320,1999.0,91088.0,"C45, Lagos",Automatic,Registered,SILVER,1707500,Nigerian used,15
4479,4479,Mitsubishi,Pajero,2008.0,162086.0,"C45, ",Automatic,Registered,WHITE,2382500,Nigerian used,0
4480,4480,Lexus,Rx,2004.0,207809.0,"C45, Abuja",Automatic,Registered,Grey,4042000,Nigerian used,23
4481,4481,Pontiac,Vibe,2004.0,213371.0,"C45, ",Automatic,Imported,GREY,1876250,Foreign used,22
4482,4482,Nissan,Primera,2003.0,147161.0,"C45, ",Automatic,Registered,SILVER,582500,Nigerian used,0
4483,4483,Mercedes-Benz,Sprinter,2014.0,6123.0,"C45, Lagos",Automatic,Imported,Grey,21290000,Foreign used,0
4484,4484,Mitsubishi,L200,2009.0,157584.0,"C45, Port",Manual,Registered,WHITE,2698000,Nigerian used,0
4485,4485,Mercedes-Benz,C180,2002.0,309636.0,"C45, Abuja",Automatic,Registered,0,906000,Nigerian used,0
4486,4486,Peugeot,807,2001.0,220372.0,"C45, Lagos",Automatic,Imported,BLUE,1914000,Foreign used,0
4487,4487,Mitsubishi,Lancer,2008.0,136642.0,"C45, Lagos",Automatic,Registered,BLACK,1022500,Nigerian used,26
4488,4488,Honda,Accord,1998.0,215038.0,"C45, Lagos",Automatic,Registered,Silver,460000,Nigerian used,48
4489,4489,Honda,Pilot,2005.0,198069.0,"C45, Abuja",Automatic,Registered,SILVER,1802000,Nigerian used,23
4490,4490,Kia,Optima,2012.0,158707.0,"C45, Lagos",Automatic,Imported,RED,3594000,Foreign used,42
4491,4491,Acura,Mdx,2007.0,62591.0,"C45, Lagos",Automatic,Registered,GREY,2586000,Nigerian used,22
4492,4492,Peugeot,301,2013.0,64220.0,"C45, Lagos",Automatic,Registered,0,1690000,Nigerian used,0
