,Make,Model,Engine Type,Transmission,Drive Type,Combined MPG,Total Seating,Fuel Tank Capacity,Fuel Type,Base Engine Size,Horsepower,Torque,Turning Circle,Front Head Room,Front Hip Room,Front Leg Room,Front Shoulder Room,Rear Head Room,Rear Hip Room,Rear Leg Room,Rear Shoulder Room,"Cargo Capacity, All Seats In Place",Curb Weight,EPA Interior Volume,Length,Overall Width Without Mirrors,Wheel Base
1695,Toyota,Corolla,Gas,Continuously variable-speed automatic,Front wheel drive,33,5,13.2,Regular unleaded,1.8,139,126,35.6,38.3,53.9,42.0,54.0,37.1,51.3,34.8,51.7,13.1,2910,101.7,182.3,70.1,106.3
1696,Honda,Pilot,Gas,Continuously variable-speed automatic,Front wheel drive,30,5,14.0,Regular unleaded,1.5,190,179,0,40.1,55.1,41.3,57.9,39.2,49.5,40.4,55.6,39.2,3337,145.1,182.1,73.0,104.8
1697,Toyota,Camry,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
1698,Toyota,Rav4,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
1699,Toyota,Avalon,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
1700,Toyota,Corolla,Gas,Continuously variable-speed automatic,Front wheel drive,33,5,13.2,Regular unleaded,1.8,139,126,35.6,38.3,53.9,42.0,54.0,37.1,51.3,34.8,51.7,13.1,2910,101.7,182.3,70.1,106.3
1701,BMW,X5,Hybrid,8-speed shiftable automatic,All wheel drive,23,5,21.9,Premium unleaded (required),3.0,335,331,41.4,0,0,39.4,60.0,0,0,37.4,58.1,33.9,0,0,194.3,78.9,117.1
1702,Ford,Explorer,Gas,10-speed shiftable automatic,All wheel drive,23,6,17.9,Regular unleaded,2.3,300,0,0,40.7,59.2,43.0,61.8,40.5,59.1,39.0,0,18.2,0,0,198.8,78.9,119.1
1703,Volkswagen,Passat,Gas,Continuously variable-speed automatic,Front wheel drive,30,5,14.0,Regular unleaded,1.5,190,179,0,40.1,55.1,41.3,57.9,39.2,49.5,40.4,55.6,39.2,3337,145.1,182.1,73.0,104.8
1704,Lexus,Es,Gas,6-speed shiftable automatic,All wheel drive,23,5,18.0,Premium unleaded (recommended),2.0,245,275,38.0,37.9,55.1,44.3,57.7,36.6,53.8,37.0,55.3,15.4,3906,0,193.9,73.4,112.2
