,Make,Model,Engine Type,Transmission,Drive Type,Combined MPG,Total Seating,Fuel Tank Capacity,Fuel Type,Base Engine Size,Horsepower,Torque,Turning Circle,Front Head Room,Front Hip Room,Front Leg Room,Front Shoulder Room,Rear Head Room,Rear Hip Room,Rear Leg Room,Rear Shoulder Room,"Cargo Capacity, All Seats In Place",Curb Weight,EPA Interior Volume,Length,Overall Width Without Mirrors,Wheel Base
0,Toyota,Corolla,Gas,Continuously variable-speed automatic,Front wheel drive,33,5,13.2,Regular unleaded,1.8,139,126,35.6,38.3,53.9,42.0,54.0,37.1,51.3,34.8,51.7,13.1,2910,101.7,182.3,70.1,106.3
1,Mercedes-Benz,GLC,Gas,9-speed shiftable automatic,All wheel drive,23,5,17.4,Premium unleaded (required),2.0,255,273,38.7,0,0,40.8,57.3,0,0,37.3,56.5,19.4,0,0,183.3,74.8,113.1
2,Mercedes-Benz,Ml350,Gas,Continuously variable-speed automatic,Front wheel drive,32,5,15.8,Regular unleaded,1.5,160,184,37.0,39.1,54.1,41.5,58.5,37.5,53.4,38.1,57.1,15.7,3135,0,194.2,73.0,111.4
3,Mercedes-Benz,C300,Gas,Continuously variable-speed automatic,Front wheel drive,32,5,15.8,Regular unleaded,1.5,160,184,37.0,39.1,54.1,41.5,58.5,37.5,53.4,38.1,57.1,15.7,3135,0,194.2,73.0,111.4
4,Mitsubishi,Outlander,Gas,Continuously variable-speed automatic,Front wheel drive,32,5,15.8,Regular unleaded,1.5,160,184,37.0,39.1,54.1,41.5,58.5,37.5,53.4,38.1,57.1,15.7,3135,0,194.2,73.0,111.4
5,Lexus,GX460,Gas,6-speed shiftable automatic,Four wheel drive,16,7,23.0,Premium unleaded (required),4.6,301,329,41.1,38.0,56.5,41.7,55.4,40.4,55.2,34.1,57.3,11.6,5126,141.3,192.1,74.2,109.8
6,Mercedes-Benz,GLE450,Gas,Continuously variable-speed automatic,Front wheel drive,32,5,15.8,Regular unleaded,1.5,160,184,37.0,39.1,54.1,41.5,58.5,37.5,53.4,38.1,57.1,15.7,3135,0,194.2,73.0,111.4
7,Lexus,IS250,Gas,6-speed shiftable automatic,All wheel drive,23,5,18.0,Premium unleaded (recommended),2.0,245,275,38.0,37.9,55.1,44.3,57.7,36.6,53.8,37.0,55.3,15.4,3906,0,193.9,73.4,112.2
8,JAC,S7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Toyota,Camry,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
10,Mercedes-Benz,CLA,Gas,Continuously variable-speed automatic,Front wheel drive,32,5,15.8,Regular unleaded,1.5,160,184,37.0,39.1,54.1,41.5,58.5,37.5,53.4,38.1,57.1,15.7,3135,0,194.2,73.0,111.4
11,Lexus,Is,Gas,6-speed shiftable automatic,All wheel drive,23,5,18.0,Premium unleaded (recommended),2.0,245,275,38.0,37.9,55.1,44.3,57.7,36.6,53.8,37.0,55.3,15.4,3906,0,193.9,73.4,112.2
12,Toyota,Yaris,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
13,Toyota,Yaris,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
14,Honda,Accord,Gas,Continuously variable-speed automatic,Front wheel drive,33,5,14.8,Regular unleaded,1.5,192,192,38.1,37.5,55.3,42.3,58.3,37.2,55.0,40.4,56.5,16.7,3217,0,192.2,73.3,111.4
15,Toyota,Matrix,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
16,Mercedes-Benz,GLK,Gas,Continuously variable-speed automatic,Front wheel drive,32,5,15.8,Regular unleaded,1.5,160,184,37.0,39.1,54.1,41.5,58.5,37.5,53.4,38.1,57.1,15.7,3135,0,194.2,73.0,111.4
17,Hyundai,Sonata,Gas,Continuously variable-speed automatic,Front wheel drive,30,5,14.0,Regular unleaded,1.5,190,179,0,40.1,55.1,41.3,57.9,39.2,49.5,40.4,55.6,39.2,3337,145.1,182.1,73.0,104.8
18,Toyota,Matrix,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
19,Mercedes-Benz,Clk350,Gas,Continuously variable-speed automatic,Front wheel drive,32,5,15.8,Regular unleaded,1.5,160,184,37.0,39.1,54.1,41.5,58.5,37.5,53.4,38.1,57.1,15.7,3135,0,194.2,73.0,111.4
20,Honda,Civic,Gas,Continuously variable-speed automatic,Front wheel drive,30,5,14.0,Regular unleaded,1.5,190,179,0,40.1,55.1,41.3,57.9,39.2,49.5,40.4,55.6,39.2,3337,145.1,182.1,73.0,104.8
21,Toyota,Corolla,Gas,Continuously variable-speed automatic,Front wheel drive,33,5,13.2,Regular unleaded,1.8,139,126,35.6,38.3,53.9,42.0,54.0,37.1,51.3,34.8,51.7,13.1,2910,101.7,182.3,70.1,106.3
22,Lexus,Gs,Gas,6-speed shiftable automatic,All wheel drive,23,5,18.0,Premium unleaded (recommended),2.0,245,275,38.0,37.9,55.1,44.3,57.7,36.6,53.8,37.0,55.3,15.4,3906,0,193.9,73.4,112.2
23,Toyota,Corolla,Gas,Continuously variable-speed automatic,Front wheel drive,33,5,13.2,Regular unleaded,1.8,139,126,35.6,38.3,53.9,42.0,54.0,37.1,51.3,34.8,51.7,13.1,2910,101.7,182.3,70.1,106.3
24,Toyota,Rav4,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
25,Volkswagen,Golf,Gas,6-speed manual,Front wheel drive,26,5,13.2,Premium unleaded (recommended),2.0,228,258,35.8,0,0,41.2,55.9,0,0,35.6,53.9,17.4,3133,118.3,168.0,70.8,103.6
26,Lexus,Rx,Gas,6-speed shiftable automatic,All wheel drive,23,5,18.0,Premium unleaded (recommended),2.0,245,275,38.0,37.9,55.1,44.3,57.7,36.6,53.8,37.0,55.3,15.4,3906,0,193.9,73.4,112.2
27,Toyota,Corolla,Gas,Continuously variable-speed automatic,Front wheel drive,33,5,13.2,Regular unleaded,1.8,139,126,35.6,38.3,53.9,42.0,54.0,37.1,51.3,34.8,51.7,13.1,2910,101.7,182.3,70.1,106.3
28,Ford,Escape,Gas,8-speed automatic,Front wheel drive,30,5,0,Regular unleaded,1.5,181,0,0,40.0,55.2,42.4,57.6,39.3,53.3,40.7,56.0,33.5,0,0,180.5,74.1,106.7
29,Toyota,Avalon,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
30,Kia,Sorento,Gas,8-speed automatic,Front wheel drive,26,7,17.7,Regular unleaded,2.5,191,181,37.9,40.3,55.6,41.4,59.1,39.1,55.1,41.7,58.1,12.6,3794,121.3,189.0,74.8,110.8
31,Mercedes-Benz,Ml500,Gas,Continuously variable-speed automatic,Front wheel drive,32,5,15.8,Regular unleaded,1.5,160,184,37.0,39.1,54.1,41.5,58.5,37.5,53.4,38.1,57.1,15.7,3135,0,194.2,73.0,111.4
32,Lexus,Rx,Gas,6-speed shiftable automatic,All wheel drive,23,5,18.0,Premium unleaded (recommended),2.0,245,275,38.0,37.9,55.1,44.3,57.7,36.6,53.8,37.0,55.3,15.4,3906,0,193.9,73.4,112.2
33,Honda,Civic,Gas,Continuously variable-speed automatic,Front wheel drive,30,5,14.0,Regular unleaded,1.5,190,179,0,40.1,55.1,41.3,57.9,39.2,49.5,40.4,55.6,39.2,3337,145.1,182.1,73.0,104.8
34,Ford,Edge,Flex-fuel (ffv),10-speed shiftable automatic,Four wheel drive,20,6,26.0,Flex-fuel (unleaded/e85),3.3,290,265,47.8,40.8,62.5,43.9,66.7,40.4,62.6,43.6,66.0,0,0,0,231.7,79.9,145.4
35,Toyota,Rav4,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
36,Mercedes-Benz,C230,Gas,Continuously variable-speed automatic,Front wheel drive,32,5,15.8,Regular unleaded,1.5,160,184,37.0,39.1,54.1,41.5,58.5,37.5,53.4,38.1,57.1,15.7,3135,0,194.2,73.0,111.4
37,Hyundai,Sonata,Gas,Continuously variable-speed automatic,Front wheel drive,30,5,14.0,Regular unleaded,1.5,190,179,0,40.1,55.1,41.3,57.9,39.2,49.5,40.4,55.6,39.2,3337,145.1,182.1,73.0,104.8
38,Toyota,Camry,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
39,Volvo,Xc90,Gas,Continuously variable-speed automatic,Front wheel drive,30,5,14.0,Regular unleaded,1.5,190,179,0,40.1,55.1,41.3,57.9,39.2,49.5,40.4,55.6,39.2,3337,145.1,182.1,73.0,104.8
40,Toyota,Rav4,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
41,Toyota,Sienna,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
42,Toyota,Corolla,Gas,Continuously variable-speed automatic,Front wheel drive,33,5,13.2,Regular unleaded,1.8,139,126,35.6,38.3,53.9,42.0,54.0,37.1,51.3,34.8,51.7,13.1,2910,101.7,182.3,70.1,106.3
43,Acura,Mdx,Gas,10-speed shiftable automatic,Front wheel drive,22,0,18.5,Premium unleaded (recommended),3.5,290,267,40.5,38.5,59.3,41.6,61.9,38.1,57.8,38.5,60.3,18.1,4271,155.4,198.4,78.7,113.8
44,Acura,Tl,Gas,Continuously variable-speed automatic,Front wheel drive,32,5,16.2,Regular unleaded,2.5,188,180,36.1,39.2,54.7,43.8,58.2,36.9,54.5,35.2,57.1,15.4,3207,0,192.9,72.9,111.2
45,Pontiac,Vibe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Toyota,Camry,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
47,Mitsubishi,Montero,Gas,Continuously variable-speed automatic,Front wheel drive,32,5,15.8,Regular unleaded,1.5,160,184,37.0,39.1,54.1,41.5,58.5,37.5,53.4,38.1,57.1,15.7,3135,0,194.2,73.0,111.4
48,Peugeot,406,Gas,9-speed shiftable automatic,Front wheel drive,23,8,19.5,Regular unleaded,3.5,280,262,39.4,39.5,59.1,40.9,62.0,39.9,57.3,38.4,62.0,16.5,4041,168.2,196.5,78.6,111.0
49,Toyota,Corolla,Gas,Continuously variable-speed automatic,Front wheel drive,33,5,13.2,Regular unleaded,1.8,139,126,35.6,38.3,53.9,42.0,54.0,37.1,51.3,34.8,51.7,13.1,2910,101.7,182.3,70.1,106.3
50,Toyota,Corolla,Gas,Continuously variable-speed automatic,Front wheel drive,33,5,13.2,Regular unleaded,1.8,139,126,35.6,38.3,53.9,42.0,54.0,37.1,51.3,34.8,51.7,13.1,2910,101.7,182.3,70.1,106.3
51,Toyota,Camry,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
52,Nissan,Maxima,Gas,Continuously variable-speed automatic,Front wheel drive,24,5,18.0,Premium unleaded (recommended),3.5,300,261,38.1,39.4,54.2,45.0,56.7,36.7,53.5,34.2,55.7,14.3,3612,112.8,192.8,73.2,109.3
53,Lexus,Es,Gas,6-speed shiftable automatic,All wheel drive,23,5,18.0,Premium unleaded (recommended),2.0,245,275,38.0,37.9,55.1,44.3,57.7,36.6,53.8,37.0,55.3,15.4,3906,0,193.9,73.4,112.2
54,Honda,Pilot,Gas,Continuously variable-speed automatic,Front wheel drive,30,5,14.0,Regular unleaded,1.5,190,179,0,40.1,55.1,41.3,57.9,39.2,49.5,40.4,55.6,39.2,3337,145.1,182.1,73.0,104.8
55,Honda,Accord,Gas,Continuously variable-speed automatic,Front wheel drive,33,5,14.8,Regular unleaded,1.5,192,192,38.1,37.5,55.3,42.3,58.3,37.2,55.0,40.4,56.5,16.7,3217,0,192.2,73.3,111.4
56,Honda,Accord,Gas,Continuously variable-speed automatic,Front wheel drive,33,5,14.8,Regular unleaded,1.5,192,192,38.1,37.5,55.3,42.3,58.3,37.2,55.0,40.4,56.5,16.7,3217,0,192.2,73.3,111.4
57,Toyota,Corolla,Gas,Continuously variable-speed automatic,Front wheel drive,33,5,13.2,Regular unleaded,1.8,139,126,35.6,38.3,53.9,42.0,54.0,37.1,51.3,34.8,51.7,13.1,2910,101.7,182.3,70.1,106.3
58,Kia,Sorento,Gas,8-speed automatic,Front wheel drive,26,7,17.7,Regular unleaded,2.5,191,181,37.9,40.3,55.6,41.4,59.1,39.1,55.1,41.7,58.1,12.6,3794,121.3,189.0,74.8,110.8
59,Mercedes-Benz,C180,Gas,Continuously variable-speed automatic,Front wheel drive,32,5,15.8,Regular unleaded,1.5,160,184,37.0,39.1,54.1,41.5,58.5,37.5,53.4,38.1,57.1,15.7,3135,0,194.2,73.0,111.4
60,Toyota,Corolla,Gas,Continuously variable-speed automatic,Front wheel drive,33,5,13.2,Regular unleaded,1.8,139,126,35.6,38.3,53.9,42.0,54.0,37.1,51.3,34.8,51.7,13.1,2910,101.7,182.3,70.1,106.3
61,Volkswagen,Passat,Gas,Continuously variable-speed automatic,Front wheel drive,30,5,14.0,Regular unleaded,1.5,190,179,0,40.1,55.1,41.3,57.9,39.2,49.5,40.4,55.6,39.2,3337,145.1,182.1,73.0,104.8
62,Acura,Mdx,Gas,10-speed shiftable automatic,Front wheel drive,22,0,18.5,Premium unleaded (recommended),3.5,290,267,40.5,38.5,59.3,41.6,61.9,38.1,57.8,38.5,60.3,18.1,4271,155.4,198.4,78.7,113.8
63,Ford,Edge,Flex-fuel (ffv),10-speed shiftable automatic,Four wheel drive,20,6,26.0,Flex-fuel (unleaded/e85),3.3,290,265,47.8,40.8,62.5,43.9,66.7,40.4,62.6,43.6,66.0,0,0,0,231.7,79.9,145.4
64,Peugeot,206,Gas,9-speed shiftable automatic,Front wheel drive,23,8,19.5,Regular unleaded,3.5,280,262,39.4,39.5,59.1,40.9,62.0,39.9,57.3,38.4,62.0,16.5,4041,168.2,196.5,78.6,111.0
65,Lexus,GS,Gas,6-speed shiftable automatic,All wheel drive,23,5,18.0,Premium unleaded (recommended),2.0,245,275,38.0,37.9,55.1,44.3,57.7,36.6,53.8,37.0,55.3,15.4,3906,0,193.9,73.4,112.2
66,Mercedes-Benz,C300,Gas,Continuously variable-speed automatic,Front wheel drive,32,5,15.8,Regular unleaded,1.5,160,184,37.0,39.1,54.1,41.5,58.5,37.5,53.4,38.1,57.1,15.7,3135,0,194.2,73.0,111.4
67,Mazda,6,Gas,Continuously variable-speed automatic,Front wheel drive,32,5,15.8,Regular unleaded,1.5,160,184,37.0,39.1,54.1,41.5,58.5,37.5,53.4,38.1,57.1,15.7,3135,0,194.2,73.0,111.4
68,Honda,Accord,Gas,Continuously variable-speed automatic,Front wheel drive,33,5,14.8,Regular unleaded,1.5,192,192,38.1,37.5,55.3,42.3,58.3,37.2,55.0,40.4,56.5,16.7,3217,0,192.2,73.3,111.4
69,Chevrolet,Optra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Honda,Accord,Gas,Continuously variable-speed automatic,Front wheel drive,33,5,14.8,Regular unleaded,1.5,192,192,38.1,37.5,55.3,42.3,58.3,37.2,55.0,40.4,56.5,16.7,3217,0,192.2,73.3,111.4
71,Lexus,Is,Gas,6-speed shiftable automatic,All wheel drive,23,5,18.0,Premium unleaded (recommended),2.0,245,275,38.0,37.9,55.1,44.3,57.7,36.6,53.8,37.0,55.3,15.4,3906,0,193.9,73.4,112.2
72,Toyota,Matrix,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
73,Lexus,Es,Gas,6-speed shiftable automatic,All wheel drive,23,5,18.0,Premium unleaded (recommended),2.0,245,275,38.0,37.9,55.1,44.3,57.7,36.6,53.8,37.0,55.3,15.4,3906,0,193.9,73.4,112.2
74,Toyota,Corolla,Gas,Continuously variable-speed automatic,Front wheel drive,33,5,13.2,Regular unleaded,1.8,139,126,35.6,38.3,53.9,42.0,54.0,37.1,51.3,34.8,51.7,13.1,2910,101.7,182.3,70.1,106.3
75,Mercedes-Benz,E240,Gas,Continuously variable-speed automatic,Front wheel drive,32,5,15.8,Regular unleaded,1.5,160,184,37.0,39.1,54.1,41.5,58.5,37.5,53.4,38.1,57.1,15.7,3135,0,194.2,73.0,111.4
76,Mercedes-Benz,E240,Gas,Continuously variable-speed automatic,Front wheel drive,32,5,15.8,Regular unleaded,1.5,160,184,37.0,39.1,54.1,41.5,58.5,37.5,53.4,38.1,57.1,15.7,3135,0,194.2,73.0,111.4
77,Toyota,Corolla,Gas,Continuously variable-speed automatic,Front wheel drive,33,5,13.2,Regular unleaded,1.8,139,126,35.6,38.3,53.9,42.0,54.0,37.1,51.3,34.8,51.7,13.1,2910,101.7,182.3,70.1,106.3
78,Honda,Accord,Gas,Continuously variable-speed automatic,Front wheel drive,33,5,14.8,Regular unleaded,1.5,192,192,38.1,37.5,55.3,42.3,58.3,37.2,55.0,40.4,56.5,16.7,3217,0,192.2,73.3,111.4
79,Toyota,Sienna,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
80,Toyota,Highlander,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
81,Toyota,Highlander,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
82,Toyota,Corolla,Gas,Continuously variable-speed automatic,Front wheel drive,33,5,13.2,Regular unleaded,1.8,139,126,35.6,38.3,53.9,42.0,54.0,37.1,51.3,34.8,51.7,13.1,2910,101.7,182.3,70.1,106.3
83,Mazda,Cx-7,Gas,Continuously variable-speed automatic,Front wheel drive,32,5,15.8,Regular unleaded,1.5,160,184,37.0,39.1,54.1,41.5,58.5,37.5,53.4,38.1,57.1,15.7,3135,0,194.2,73.0,111.4
84,Honda,Accord,Gas,Continuously variable-speed automatic,Front wheel drive,33,5,14.8,Regular unleaded,1.5,192,192,38.1,37.5,55.3,42.3,58.3,37.2,55.0,40.4,56.5,16.7,3217,0,192.2,73.3,111.4
85,Kia,Optima,Gas,8-speed automatic,Front wheel drive,26,7,17.7,Regular unleaded,2.5,191,181,37.9,40.3,55.6,41.4,59.1,39.1,55.1,41.7,58.1,12.6,3794,121.3,189.0,74.8,110.8
86,Toyota,Sienna,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
87,Toyota,Corolla,Gas,Continuously variable-speed automatic,Front wheel drive,33,5,13.2,Regular unleaded,1.8,139,126,35.6,38.3,53.9,42.0,54.0,37.1,51.3,34.8,51.7,13.1,2910,101.7,182.3,70.1,106.3
88,Lexus,Gx,Gas,6-speed shiftable automatic,All wheel drive,23,5,18.0,Premium unleaded (recommended),2.0,245,275,38.0,37.9,55.1,44.3,57.7,36.6,53.8,37.0,55.3,15.4,3906,0,193.9,73.4,112.2
89,Toyota,Camry,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
90,Lexus,Es,Gas,6-speed shiftable automatic,All wheel drive,23,5,18.0,Premium unleaded (recommended),2.0,245,275,38.0,37.9,55.1,44.3,57.7,36.6,53.8,37.0,55.3,15.4,3906,0,193.9,73.4,112.2
91,Honda,Accord,Gas,Continuously variable-speed automatic,Front wheel drive,33,5,14.8,Regular unleaded,1.5,192,192,38.1,37.5,55.3,42.3,58.3,37.2,55.0,40.4,56.5,16.7,3217,0,192.2,73.3,111.4
92,Toyota,Highlander,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
93,Lexus,Gs,Gas,6-speed shiftable automatic,All wheel drive,23,5,18.0,Premium unleaded (recommended),2.0,245,275,38.0,37.9,55.1,44.3,57.7,36.6,53.8,37.0,55.3,15.4,3906,0,193.9,73.4,112.2
94,Acura,Tl,Gas,Continuously variable-speed automatic,Front wheel drive,32,5,16.2,Regular unleaded,2.5,188,180,36.1,39.2,54.7,43.8,58.2,36.9,54.5,35.2,57.1,15.4,3207,0,192.9,72.9,111.2
95,Lexus,Rx,Gas,6-speed shiftable automatic,All wheel drive,23,5,18.0,Premium unleaded (recommended),2.0,245,275,38.0,37.9,55.1,44.3,57.7,36.6,53.8,37.0,55.3,15.4,3906,0,193.9,73.4,112.2
96,Toyota,Camry,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
97,Honda,Accord,Gas,Continuously variable-speed automatic,Front wheel drive,33,5,14.8,Regular unleaded,1.5,192,192,38.1,37.5,55.3,42.3,58.3,37.2,55.0,40.4,56.5,16.7,3217,0,192.2,73.3,111.4
98,Hyundai,Elantra,Gas,Continuously variable-speed automatic,Front wheel drive,30,5,14.0,Regular unleaded,1.5,190,179,0,40.1,55.1,41.3,57.9,39.2,49.5,40.4,55.6,39.2,3337,145.1,182.1,73.0,104.8
99,Lexus,Es,Gas,6-speed shiftable automatic,All wheel drive,23,5,18.0,Premium unleaded (recommended),2.0,245,275,38.0,37.9,55.1,44.3,57.7,36.6,53.8,37.0,55.3,15.4,3906,0,193.9,73.4,112.2
100,Peugeot,406,Gas,9-speed shiftable automatic,Front wheel drive,23,8,19.5,Regular unleaded,3.5,280,262,39.4,39.5,59.1,40.9,62.0,39.9,57.3,38.4,62.0,16.5,4041,168.2,196.5,78.6,111.0
101,Nissan,Murano,Gas,Continuously variable-speed automatic,Front wheel drive,23,5,19.0,Regular unleaded,3.5,260,240,38.7,39.9,55.4,40.5,59.5,39.8,55.2,38.7,58.9,32.1,3833,140.2,192.8,75.4,111.2
102,Hyundai,Sonata,Gas,Continuously variable-speed automatic,Front wheel drive,30,5,14.0,Regular unleaded,1.5,190,179,0,40.1,55.1,41.3,57.9,39.2,49.5,40.4,55.6,39.2,3337,145.1,182.1,73.0,104.8
103,Kia,Sorento,Gas,8-speed automatic,Front wheel drive,26,7,17.7,Regular unleaded,2.5,191,181,37.9,40.3,55.6,41.4,59.1,39.1,55.1,41.7,58.1,12.6,3794,121.3,189.0,74.8,110.8
104,Toyota,Avensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Peugeot,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Mercedes-Benz,C350,Gas,9-speed shiftable automatic,Rear wheel drive,27,5,17.4,Premium unleaded (required),2.0,255,273,36.8,0,0,41.7,55.3,0,0,35.2,55.0,12.6,0,0,184.5,71.3,111.8
107,Toyota,Corolla,Gas,Continuously variable-speed automatic,Front wheel drive,33,5,13.2,Regular unleaded,1.8,139,126,35.6,38.3,53.9,42.0,54.0,37.1,51.3,34.8,51.7,13.1,2910,101.7,182.3,70.1,106.3
108,Honda,Odyssey,Gas,10-speed shiftable automatic,Front wheel drive,22,8,19.5,Regular unleaded,3.5,280,262,39.6,38.7,58.6,40.9,63.1,39.2,64.8,40.9,61.6,38.6,4603,0,205.2,78.5,118.1
109,Isuzu,D-Max,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Nissan,Pathfinder,Gas,Continuously variable-speed automatic,Front wheel drive,30,5,14.5,Regular unleaded,2.5,181,181,35.4,41.1,54.1,41.5,57.1,39.2,53.4,38.5,55.9,31.6,3371,137.0,183.0,72.4,106.5
111,Nissan,Almera,Gas,Continuously variable-speed automatic,Front wheel drive,30,5,14.5,Regular unleaded,2.5,181,181,35.4,41.1,54.1,41.5,57.1,39.2,53.4,38.5,55.9,31.6,3371,137.0,183.0,72.4,106.5
112,Honda,Accord,Gas,Continuously variable-speed automatic,Front wheel drive,33,5,14.8,Regular unleaded,1.5,192,192,38.1,37.5,55.3,42.3,58.3,37.2,55.0,40.4,56.5,16.7,3217,0,192.2,73.3,111.4
113,Lexus,Rx,Gas,6-speed shiftable automatic,All wheel drive,23,5,18.0,Premium unleaded (recommended),2.0,245,275,38.0,37.9,55.1,44.3,57.7,36.6,53.8,37.0,55.3,15.4,3906,0,193.9,73.4,112.2
114,Volkswagen,Vento,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Hyundai,Veracruz,Gas,Continuously variable-speed automatic,Front wheel drive,30,5,14.0,Regular unleaded,1.5,190,179,0,40.1,55.1,41.3,57.9,39.2,49.5,40.4,55.6,39.2,3337,145.1,182.1,73.0,104.8
116,Honda,Pilot,Gas,Continuously variable-speed automatic,Front wheel drive,30,5,14.0,Regular unleaded,1.5,190,179,0,40.1,55.1,41.3,57.9,39.2,49.5,40.4,55.6,39.2,3337,145.1,182.1,73.0,104.8
117,Honda,Accord,Gas,Continuously variable-speed automatic,Front wheel drive,33,5,14.8,Regular unleaded,1.5,192,192,38.1,37.5,55.3,42.3,58.3,37.2,55.0,40.4,56.5,16.7,3217,0,192.2,73.3,111.4
118,Toyota,Corolla,Gas,Continuously variable-speed automatic,Front wheel drive,33,5,13.2,Regular unleaded,1.8,139,126,35.6,38.3,53.9,42.0,54.0,37.1,51.3,34.8,51.7,13.1,2910,101.7,182.3,70.1,106.3
119,Opel,Astra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
