,Make,Model,Year,Mileage (KM),Location,Transmission,Selling Condition,Colour,Price,Used Location
0,Toyota,Corolla,2015,0,"C45-Express,, ",0,0.0,0.0,4750000,Foreign used
1,Mercedes-Benz,GLC,2019,0,"C45-Express,, ",0,0.0,0.0,20000000,Foreign used
2,Mercedes-Benz,Ml350,2014,0,"C45-Express,, ",0,0.0,0.0,15200000,Foreign used
3,Mercedes-Benz,C300,2015,93916,"C45, Lagos",Automatic,Registered,BLACK,10090000,Nigerian used
4,Mitsubishi,Outlander,2017,0,"C45-Express,, ",0,0.0,0.0,13500000,Foreign used
5,Lexus,GX460,2016,0,"C45-Express,, ",0,0.0,0.0,18000000,Foreign used
6,Mercedes-Benz,GLE450,2016,0,"C45-Express,, ",0,0.0,0.0,40000000,Foreign used
7,Lexus,IS250,2017,0,"C45-Express,, ",0,0.0,0.0,9000000,Foreign used
8,JAC,S7,2019,35403,"C45, Lagos",Automatic,Registered,BLACK,7850000,Nigerian used
9,Toyota,Camry,2003,187524,"C45, Onitsha",Automatic,Registered,0,2250000,Nigerian used
10,Mercedes-Benz,CLA,2016,1,"C45, Lagos",Automatic,Registered,BLACK,7066000,Nigerian used
11,Lexus,Is,2007,228060,"C45, Ibadan",Automatic,Registered,0,2586000,Nigerian used
12,Toyota,Yaris,2011,143865,"C45, Lagos",Automatic,Registered,0,1354000,Nigerian used
13,Toyota,Yaris,2012,82607,"C45, Lagos",Automatic,Registered,SILVER,962000,Nigerian used
14,Honda,Accord,2008,188903,"C45, Lagos",Automatic,Registered,0,1466000,Nigerian used
15,Toyota,Matrix,2009,268927,"C45, Lagos",Automatic,Registered,BLUE,2810000,Nigerian used
16,Mercedes-Benz,GLK,2010,85953,"C45, Abuja",Automatic,Imported,Black,6170000,Foreign used
17,Hyundai,Sonata,2013,160757,"C45, Ibadan",Automatic,Registered,BLACK,3370000,Nigerian used
18,Toyota,Matrix,2009,179439,"C45, Lagos",Automatic,Imported,0,2922000,Foreign used
19,Mercedes-Benz,Clk350,2006,154140,"C45, Abuja",Automatic,Imported,Grey,3370000,Foreign used
20,Honda,Civic,2003,186778,"C45, Lagos",Automatic,Registered,0,626000,Nigerian used
21,Toyota,Corolla,2010,208829,"C45, Lagos",Automatic,Registered,grey,3370000,Nigerian used
22,Lexus,Gs,2002,190049,"C45, ",Automatic,Registered,SILVER,738000,Nigerian used
23,Toyota,Corolla,2009,65506,"C45, Kaduna",Automatic,Registered,GREY,2138000,Nigerian used
24,Toyota,Rav4,2006,153444,"C45, Lagos",Automatic,Registered,Blue,2362000,Nigerian used
25,Volkswagen,Golf,1998,197282,"C45, Ilorin",Automatic,Registered,0,906000,Nigerian used
26,Lexus,Rx,2001,146108,"C45, Lagos",Automatic,Registered,GOLD,1690000,Nigerian used
27,Toyota,Corolla,2007,177689,"C45, ",Automatic,Registered,White,2082000,Nigerian used
28,Ford,Escape,2001,206219,"C45, Lagos",Automatic,Registered,RED,962000,Nigerian used
29,Toyota,Avalon,2013,71660,"C45, Abuja",Automatic,Imported,Brown,6730000,Foreign used
30,Kia,Sorento,2005,244658,"C45, Port",Automatic,Registered,Green,1074000,Nigerian used
31,Mercedes-Benz,Ml500,2006,95172,"C45, Lagos",Automatic,Registered,SILVER,2474000,Nigerian used
32,Lexus,Rx,2002,0,"C45, Port",Automatic,Registered,GREY,1578000,Nigerian used
33,Honda,Civic,2006,173776,"C45, Lagos",Automatic,Registered,BLUE,1354000,Nigerian used
34,Ford,Edge,2007,187101,"C45, Lagos",Automatic,Registered,ORANGE,2026000,Nigerian used
35,Toyota,Rav4,2004,247180,"C45, Abuja",Automatic,Registered,0,1690000,Nigerian used
36,Mercedes-Benz,C230,2006,157962,"C45, ",Automatic,Registered,White,1634000,Nigerian used
37,Hyundai,Sonata,2006,287757,"C45, Abuja",Automatic,Registered,RED,794000,Nigerian used
38,Toyota,Camry,2007,232664,"C45, Ibadan",Automatic,Registered,0,2306000,Nigerian used
39,Volvo,Xc90,2004,159388,"C45, Ilorin",Automatic,Registered,0,962000,Nigerian used
40,Toyota,Rav4,2012,48045,"C45, Lagos",Automatic,Registered,BLUE,2810000,Nigerian used
41,Toyota,Sienna,2004,216198,"C45, Lagos",Semiautomatic,Imported,0,2250000,Foreign used
42,Toyota,Corolla,2006,131996,"C45, Lagos",Automatic,Registered,0,1690000,Nigerian used
43,Acura,Mdx,2007,86304,"C45, Lagos",Automatic,Imported,GREY,5274000,Foreign used
44,Acura,Tl,1999,0,"C45, Port",Automatic,Registered,Silver,570000,Nigerian used
45,Pontiac,Vibe,2005,101160,"C45, Abuja",Automatic,Imported,black,2362000,Foreign used
46,Toyota,Camry,2013,88005,"C45, Lagos",Automatic,Registered,0,3370000,Nigerian used
47,Mitsubishi,Montero,2003,156455,"C45, Abuja",Automatic,Registered,SILVER,1130000,Nigerian used
48,Peugeot,406,2008,999999,"C45, Lagos",Manual,Registered,SILVER,1242000,Nigerian used
49,Toyota,Corolla,2007,479005,"C45, Abuja",Automatic,Registered,Black,1074000,Nigerian used
50,Toyota,Corolla,2005,314601,"C45, Abuja",Automatic,Registered,Green,1242000,Nigerian used
51,Toyota,Camry,2012,44106,"C45, Lagos",Automatic,Registered,RED,3034000,Nigerian used
52,Nissan,Maxima,2005,149054,"C45, Port",Automatic,Registered,0,906000,Nigerian used
53,Lexus,Es,2007,133129,"C45, Asaba",Automatic,Registered,0,1914000,Nigerian used
54,Honda,Pilot,2003,212963,"C45, Ibadan",Automatic,Registered,0,1130000,Nigerian used
55,Honda,Accord,2007,175399,"C45, ",Automatic,Registered,BLACK,1074000,Nigerian used
56,Honda,Accord,2008,199416,"C45, Lagos",Automatic,Registered,RED,1746000,Nigerian used
57,Toyota,Corolla,2003,389001,"C45, Lagos",Manual,Registered,SILVER,738000,Nigerian used
58,Kia,Sorento,2005,127446,"C45, Port",Automatic,Registered,0,570000,Nigerian used
59,Mercedes-Benz,C180,2001,328628,"C45, Abuja",Manual,Registered,Grey,1074000,Nigerian used
60,Toyota,Corolla,2009,91313,"C45, ",Automatic,Imported,Silver,3090000,Foreign used
61,Volkswagen,Passat,1999,200615,"C45, Ibadan",Automatic,Registered,Grey,1354000,Nigerian used
62,Acura,Mdx,2003,211478,"C45, Lagos",Automatic,Registered,BLUE,1578000,Nigerian used
63,Ford,Edge,2008,65243,"C45, Port",Automatic,Registered,0,2250000,Nigerian used
64,Peugeot,206,2003,140234,"C45, Abuja",Automatic,Registered,Blue,1690000,Nigerian used
65,Lexus,GS,2007,189425,"C45, Ibadan",Automatic,Registered,BLACK,3370000,Nigerian used
66,Mercedes-Benz,C300,2010,143330,"C45, Abuja",Automatic,Registered,Black,4042000,Nigerian used
67,Mazda,6,2004,69333,"C45, Lagos",Manual,Registered,BLUE,962000,Nigerian used
68,Honda,Accord,2006,157153,"C45, Lagos",Automatic,Registered,SILVER,1354000,Nigerian used
69,Chevrolet,Optra,2008,92849,"C45, Port",Manual,Registered,0,458000,Nigerian used
70,Honda,Accord,2005,331264,"C45, Kaduna",Automatic,Registered,silver,850000,Nigerian used
71,Lexus,Is,2006,230997,"C45, Abuja",Automatic,Registered,Silver,2810000,Nigerian used
72,Toyota,Matrix,2005,299999,"C45, Lagos",Automatic,Registered,ASH,1578000,Nigerian used
73,Lexus,Es,2009,97384,"C45, Lagos",Automatic,Imported,BLACK,4266000,Foreign used
74,Toyota,Corolla,2014,97241,"C45, Lagos",Automatic,Imported,GREY,6058000,Foreign used
75,Mercedes-Benz,E240,2000,127764,"C45, Ilorin",Automatic,Registered,0,1130000,Nigerian used
76,Mercedes-Benz,E240,2002,285690,"C45, Abuja",Automatic,Registered,Black,1242000,Nigerian used
77,Toyota,Corolla,2008,131731,"C45, Abuja",Manual,Registered,Gold,1690000,Nigerian used
78,Honda,Accord,2013,94494,"C45, Lagos",Automatic,Registered,0,3930000,Nigerian used
79,Toyota,Sienna,2013,239625,"C45, ",Automatic,Registered,Black,4266000,Nigerian used
80,Toyota,Highlander,2015,181543,"C45, Kaduna",Automatic,Registered,BLACK,8970000,Nigerian used
81,Toyota,Highlander,2006,97724,"C45, Ilorin",Automatic,Registered,0,2250000,Nigerian used
82,Toyota,Corolla,2008,105089,"C45, Lagos",Automatic,Registered,0,2474000,Nigerian used
83,Mazda,Cx-7,2007,123163,"C45, Lagos",Automatic,Imported,0,3370000,Foreign used
84,Honda,Accord,2008,208094,"C45, Ibadan",Automatic,Registered,0,1634000,Nigerian used
85,Kia,Optima,2010,187762,"C45, Lagos",Automatic,Registered,WHITE,1802000,Nigerian used
86,Toyota,Sienna,2002,141414,"C45, Port",Automatic,Registered,0,1242000,Nigerian used
87,Toyota,Corolla,2004,120000,"C45, Lagos",Automatic,Registered,GREY,1522000,Nigerian used
88,Lexus,Gx,2004,25071,"C45, Port",Automatic,Registered,BLACK,3370000,Nigerian used
89,Toyota,Camry,2013,125225,"C45, Lagos",Automatic,Imported,0,4154000,Foreign used
90,Lexus,Es,2007,213362,"C45, ",Automatic,Imported,Black,3594000,Foreign used
91,Honda,Accord,2003,104520,"C45, ",Automatic,Registered,Silver,794000,Nigerian used
92,Toyota,Highlander,2008,110067,"C45, Lagos",Automatic,Registered,BLACK,5386000,Nigerian used
93,Lexus,Gs,2006,158692,"C45, Akure",Automatic,Imported,0,3370000,Foreign used
94,Acura,Tl,2003,182246,"C45, Lagos",Automatic,Registered,0,1410000,Nigerian used
95,Lexus,Rx,2004,221160,"C45, Asaba",Automatic,Registered,Silver,2922000,Nigerian used
96,Toyota,Camry,2014,79446,"C45, ",Automatic,Imported,BLACK,4490000,Foreign used
97,Honda,Accord,2003,222777,"C45, Ibadan",Automatic,Registered,0,570000,Nigerian used
98,Hyundai,Elantra,2009,206360,"C45, Abuja",Manual,Registered,Red,1354000,Nigerian used
99,Lexus,Es,2006,177833,"C45, Port",Automatic,Registered,0,2586000,Nigerian used
100,Peugeot,406,2000,162557,"C45, Kaduna",Manual,Registered,silver,738000,Nigerian used
101,Nissan,Murano,2004,119309,"C45, Lagos",Automatic,Registered,0,906000,Nigerian used
102,Hyundai,Sonata,2008,188770,"C45, Lagos",Automatic,Registered,SILVER,1522000,Nigerian used
103,Kia,Sorento,2013,94777,"C45, Lagos",Automatic,Registered,BLACK,2698000,Nigerian used
104,Toyota,Avensis,2007,149244,"C45, Port",Automatic,Registered,0,1690000,Nigerian used
105,Peugeot,307,2008,999999,"C45, Kaduna",Manual,Registered,BLACK,738000,Nigerian used
106,Mercedes-Benz,C350,2008,121731,"C45, Port",Automatic,Registered,0,2920000,Nigerian used
107,Toyota,Corolla,2004,208258,"C45, Kaduna",Automatic,Registered,GOLD,1466000,Nigerian used
108,Honda,Odyssey,2007,194309,"C45, Lagos",Automatic,Imported,Grey,1354000,Foreign used
109,Isuzu,D-Max,2011,73844,"C45, Port",Manual,Registered,0,2048400,Nigerian used
110,Nissan,Pathfinder,2013,125444,"C45, Ibadan",Automatic,Registered,0,4490000,Nigerian used
111,Nissan,Almera,2002,322121,"C45, Ilorin",Manual,Registered,0,906000,Nigerian used
112,Honda,Accord,2004,184852,"C45, Lagos",Automatic,Registered,0,850000,Nigerian used
113,Lexus,Rx,2013,99418,"C45, Lagos",Semiautomatic,Imported,WINE,9530000,Foreign used
114,Volkswagen,Vento,1998,201502,"C45, Kaduna",Manual,Registered,SILVER,682000,Nigerian used
115,Hyundai,Veracruz,2007,237370,"C45, Abuja",Automatic,Registered,Grey,2810000,Nigerian used
116,Honda,Pilot,2011,105710,"C45, Lagos",Automatic,Registered,Black,5610000,Nigerian used
117,Honda,Accord,2007,157090,"C45, Lagos",Automatic,Registered,0,1578000,Nigerian used
118,Toyota,Corolla,2005,262369,"C45, Abuja",Manual,Registered,Silver,1242000,Nigerian used
119,Opel,Astra,2007,69949,"C45, Lagos",Manual,Registered,SILVER,1690000,Nigerian used
120,Toyota,Avalon,2007,177763,"C45, Lagos",Automatic,Imported,0,2500000,Foreign used
121,Mercedes-Benz,C300,2015,59048,"C45, Lagos",Automatic,Registered,BLACK,8074000,Nigerian used
122,Toyota,Sienna,1999,179545,"C45, Port",Automatic,Registered,BROWN,1354000,Nigerian used
123,Lexus,Is,2013,67490,"C45, Ibadan",Automatic,Registered,0,3370000,Nigerian used
124,Toyota,Sienna,1998,196061,"C45, Lagos",Automatic,Imported,0,2474000,Foreign used
125,Honda,Accord,2012,162355,"C45, Ibadan",Automatic,Imported,0,3762000,Foreign used
126,Toyota,Corolla,2006,87710,"C45, Ibadan",Automatic,Imported,BLACK,2698000,Foreign used
127,Ford,Explorer,2013,102525,"C45, Lagos",Automatic,Registered,BLACK,3594000,Nigerian used
128,Honda,Cr-V,2001,189841,"C45, Lagos",Automatic,Registered,0,794000,Nigerian used
129,Lexus,Rx,2004,74432,"C45, Port",Automatic,Registered,0,3370000,Nigerian used
130,Toyota,Land,2008,225710,"C45, Lagos",Automatic,Registered,BLACK,7290000,Nigerian used
131,Toyota,Corolla,2004,299999,"C45, Abuja",Automatic,Registered,GOLD,2026000,Nigerian used
132,Mercedes-Benz,C280,2006,191412,"C45, Lagos",Automatic,Registered,BLACK,1466000,Nigerian used
133,Kia,Rio,2014,108597,"C45, Lagos",Automatic,Registered,0,1690000,Nigerian used
134,Hyundai,Sonata,2013,37051,"C45, Lagos",Automatic,Registered,BLACK,5834000,Nigerian used
135,Honda,Cr-V,2011,66695,"C45, Lagos",Automatic,Registered,RED,3370000,Nigerian used
136,Honda,Accord,2004,168610,"C45, ",Automatic,Registered,GREY,8992400,Nigerian used
137,Toyota,Sequoia,2008,202667,"C45, Lagos",Automatic,Registered,GOLD,2474000,Nigerian used
138,Mercedes-Benz,Sprinter,2001,279391,"C45, Lagos",Automatic,Registered,White,3370000,Nigerian used
139,Honda,Accord,2003,289219,"C45, Abuja",Automatic,Registered,BLUE,962000,Nigerian used
140,Toyota,Camry,1997,378131,"C45, Onitsha",Automatic,Registered,,738000,Nigerian used
141,Toyota,Corolla,2015,94947,"C45, Abuja",Automatic,Registered,Black,5610000,Nigerian used
142,Toyota,Corolla,2009,160234,"C45, Abuja",Automatic,Registered,0,2138000,Nigerian used
143,Toyota,Corolla,2010,112034,"C45, Abuja",Manual,Registered,BLACK,1690000,Nigerian used
144,Mazda,Cx-7,2007,106603,"C45, ",Automatic,Registered,BLUE,1578000,Nigerian used
145,Nissan,Primera,2006,110536,"C45, Lagos",Manual,Imported,WHITE,1690000,Foreign used
146,Honda,Accord,2003,198719,"C45, Lagos",Automatic,Registered,0,1018000,Nigerian used
147,Lexus,Rx,2010,113398,"C45, Lagos",Automatic,Registered,WHITE,6506000,Nigerian used
148,Toyota,Corolla,2011,147762,"C45, Ibadan",Automatic,Imported,0,4378000,Foreign used
149,Mercedes-Benz,S320,2002,91077,"C45, Ilorin",Automatic,Registered,0,1018000,Nigerian used
150,Honda,Accord,2009,74178,"C45, Onitsha",Automatic,Registered,Silver,1578000,Nigerian used
151,Honda,Civic,2008,249024,"C45, Benin",Automatic,Registered,0,850000,Nigerian used
152,Toyota,Highlander,2003,183736,"C45, Lagos",Automatic,Registered,SILVER,1824400,Nigerian used
153,Toyota,Avensis,2006,281939,"C45, ",Automatic,Registered,Blue,1018000,Nigerian used
154,Toyota,Camry,2013,163762,"C45, Lagos",Automatic,Imported,BLACK,5050000,Foreign used
155,Acura,Mdx,2007,141078,"C45, Abuja",Automatic,Registered,GREY,2250000,Nigerian used
156,Honda,Accord,2000,181233,"C45, Lagos",Automatic,Registered,SILVER,682000,Nigerian used
157,Lexus,Is,2012,130784,"C45, Abuja",Automatic,Registered,Black,3370000,Nigerian used
158,Acura,Tl,2006,156240,"C45, Port",Automatic,Imported,Blue,3034000,Foreign used
159,Lexus,Rx,2005,98405,"C45, Asaba",Automatic,Registered,0,2250000,Nigerian used
160,Toyota,Camry,2004,207363,"C45, Lagos",Automatic,Registered,SILVER,2138000,Nigerian used
161,Honda,Accord,2011,84681,"C45, Port",Automatic,Registered,0,2922000,Nigerian used
162,Ford,Ecosport,2015,87000,"C45, Lagos",Automatic,Registered,Brown,3370000,Nigerian used
163,Land,Range,2006,122671,"C45, Lagos",Automatic,Registered,BLACK,2586000,Nigerian used
164,Acura,Tsx,2009,156629,"C45, Abuja",Automatic,Registered,0,2810000,Nigerian used
165,Toyota,Tacoma,2004,275053,"C45, Lagos",Automatic,Registered,WHITE,4490000,Nigerian used
166,Lexus,Rx,2000,207130,"C45, Benin",Automatic,Registered,0,1186000,Nigerian used
167,Toyota,VERSO,2005,289462,"C45, Lagos",Manual,Registered,WINE,1354000,Nigerian used
168,Toyota,Sienna,2012,90864,"C45, Lagos",Automatic,Imported,BLACK,7290000,Foreign used
169,Honda,Accord,2004,206985,"C45, Lagos",Automatic,Registered,Red,966250,Nigerian used
170,Tata,1318,2009,0,"C45, Lagos",Manual,Registered,WHITE,17370000,Nigerian used
171,Toyota,Rav4,2007,97927,"C45, Lagos",Automatic,Registered,Black,2485000,Nigerian used
172,Hyundai,Elantra,2009,162254,"C45, Lagos",Automatic,Registered,Black,1135000,Nigerian used
173,Toyota,Camry,2009,105493,"C45, Port",Automatic,Registered,Blue,2474000,Nigerian used
174,Nissan,Pathfinder,2006,237540,"C45, Lagos",Automatic,Registered,BLUE,1130000,Nigerian used
175,Volkswagen,Passat,2008,175649,"C45, Lagos",Automatic,Imported,0,1690000,Foreign used
176,Acura,Mdx,2010,83707,"C45, Lagos",Automatic,Imported,GREY,5610000,Foreign used
177,Honda,Cr-V,2018,4706,"C45, Lagos",Automatic,Registered,0,10090000,Nigerian used
178,Toyota,Camry,2012,115316,"C45, Lagos",Automatic,Registered,BLACK,3482000,Nigerian used
179,Toyota,Corolla,2004,237538,"C45, Abuja",Automatic,Registered,RED,1690000,Nigerian used
180,Audi,A6,2008,187435,"C45, Akure",Automatic,Imported,0,1690000,Foreign used
181,Toyota,Fj,2008,78628,"C45, Lagos",Automatic,Registered,YELLOW,7626000,Nigerian used
182,Toyota,Camry,2011,159513,"C45, Lagos",Automatic,Imported,BLUE,4042000,Foreign used
183,Kia,Cerato,2005,259543,"C45, Port",Manual,Registered,BLACK,441200,Nigerian used
184,Mercedes-Benz,Ml320,2001,215674,"C45, Port",Automatic,Registered,Black,1018000,Nigerian used
185,Honda,Accord,2010,275562,"C45, Ibadan",Automatic,Registered,0,1662000,Nigerian used
186,Toyota,Avensis,2007,116173,"C45, Abuja",Automatic,Registered,WINE,2250000,Nigerian used
187,Lexus,Es,2002,172541,"C45, Asaba",Automatic,Registered,BLUE,1690000,Nigerian used
188,Toyota,Matrix,2006,169976,"C45, Lagos",Automatic,Registered,0,1824400,Nigerian used
189,Ford,Everest,2006,125311,"C45, Lagos",Manual,Registered,0,906000,Nigerian used
190,Toyota,Corolla,2016,42411,"C45, Ilorin",Automatic,Imported,0,5610000,Foreign used
191,Mercedes-Benz,CLS,2007,18154,"C45, Ibadan",Automatic,Registered,0,3370000,Nigerian used
192,Ford,Edge,2007,203998,"C45, Ibadan",Automatic,Imported,0,3298331,Foreign used
193,BMW,X5,2003,0,"C45, Lagos",Automatic,Registered,BLACK,1522000,Nigerian used
194,Mercedes-Benz,ML430,1999,145515,"C45, Port",Automatic,Registered,Silver,850000,Nigerian used
195,Toyota,Sienna,2013,118466,"C45, Lagos",Automatic,Registered,GREY,4266000,Nigerian used
196,Lexus,Rx,2010,57177,"C45, Abuja",Automatic,Registered,White,8970000,Nigerian used
197,Lexus,Rx,2007,188900,"C45, Abuja",Automatic,Registered,GREY,2810000,Nigerian used
198,Toyota,Camry,1999,165174,"C45, Lagos",Automatic,Registered,0,906000,Nigerian used
199,Toyota,Camry,2014,109832,"C45, ",Automatic,Registered,GREY,4546000,Nigerian used
200,Ford,Escape,2010,182775,"C45, ",Automatic,Registered,Black,1690000,Nigerian used
201,Toyota,Avensis,2008,151385,"C45, Lagos",Automatic,Registered,0,850000,Nigerian used
202,Toyota,Camry,2016,38207,"C45, Lagos",Automatic,Registered,BLACK,5386000,Nigerian used
203,Kia,Optima,2010,176770,"C45, Abuja",Automatic,Registered,Black,1690000,Nigerian used
204,Kia,Sedona,2005,120893,"C45, Lagos",Automatic,Registered,WHITE,514000,Nigerian used
205,Nissan,Altima,2008,148011,"C45, Ibadan",Automatic,Registered,BLACK,1555600,Nigerian used
206,Toyota,Land,2009,103665,"C45, Port",Automatic,Registered,0,5610000,Nigerian used
207,Peugeot,206,2004,74276,"C45, Kaduna",Automatic,Imported,Blue,1802000,Foreign used
208,Kia,Rio,2004,129591,"C45, Lagos",Automatic,Registered,Gold,346000,Nigerian used
209,Great,Voleex,2012,74601,"C45, Port",Manual,Registered,White,3370000,Nigerian used
210,Lexus,Rx,2005,81131,"C45, Port",Automatic,Registered,BLUE,3146000,Nigerian used
211,Peugeot,206,2004,999999,"C45, Kaduna",Manual,Imported,BLUE,1690000,Foreign used
212,Mercedes-Benz,E320,2003,79145,"C45, Abuja",Automatic,Registered,Black,1130000,Nigerian used
213,Kia,Rio,2009,194624,"C45, Port",Automatic,Registered,Blue,794000,Nigerian used
214,Lexus,Gs,2006,136124,"C45, ",Automatic,Registered,Purple,2026000,Nigerian used
215,Honda,Odyssey,2004,187710,"C45, Port",Automatic,Registered,0,962000,Nigerian used
216,Ford,Explorer,2015,79590,"C45, Lagos",Automatic,Registered,brown,6170000,Nigerian used
217,Honda,Pilot,2008,191513,"C45, Abuja",Automatic,Registered,Grey,1690000,Nigerian used
218,Toyota,Corolla,2009,165224,"C45, Abuja",Automatic,Registered,BLACK,2250000,Nigerian used
219,Nissan,Xterra,2005,129304,"C45, Kaduna",Automatic,Registered,Silver,1466000,Nigerian used
220,Lexus,Gs,2006,116138,"C45, Lagos",Automatic,Imported,GREY,3034000,Foreign used
221,Honda,Civic,2001,214323,"C45, Lagos",Automatic,Registered,Red,906000,Nigerian used
222,Hyundai,I10,2014,100659,"C45, Port",Manual,Registered,GREY,1242000,Nigerian used
223,Nissan,Pathfinder,2001,235252,"C45, Port",Automatic,Registered,Black,648400,Nigerian used
224,Lexus,Is300,2019,12915,"C45, Abuja",Automatic,Registered,BLACK,16810000,Nigerian used
225,Toyota,Corolla,2005,152317,"C45, Kaduna",Automatic,Registered,RED,1802000,Nigerian used
226,Toyota,Rav4,2009,97533,"C45, Ilorin",Automatic,Registered,0,2810000,Nigerian used
227,Lexus,Es,2006,98626,"C45, Ibadan",Automatic,Registered,0,1880400,Nigerian used
228,Nissan,Murano,2009,88723,"C45, Lagos",Automatic,Registered,0,1074000,Nigerian used
229,Peugeot,307,2007,214171,"C45, Kaduna",Manual,Registered,SILVER,906000,Nigerian used
230,Cadillac,Cts,2008,1,"C45, Lagos",Automatic,Registered,BROWN,2362000,Nigerian used
231,Toyota,Corolla,2006,230367,"C45, Abuja",Automatic,Registered,BLUE,1578000,Nigerian used
232,Mazda,Cx-7,2008,117747,"C45, Lagos",Automatic,Registered,0,1410000,Nigerian used
233,Lexus,GS,2007,164323,"C45, ",Automatic,Registered,Black,2922000,Nigerian used
234,Hyundai,Elantra,2011,0,"C45, Lagos",Automatic,Registered,Black,1634000,Nigerian used
235,Toyota,Corolla,2006,215530,"C45, Kaduna",Automatic,Registered,BLUE,1858000,Nigerian used
236,Toyota,Sienna,2005,138216,"C45, Port",Automatic,Registered,0,1410000,Nigerian used
237,Toyota,Avensis,2007,111576,"C45, ",Automatic,Registered,BROWN,1354000,Nigerian used
238,Peugeot,307,2006,999999,"C45, Kaduna",Automatic,Imported,BLACK,1858000,Foreign used
239,Toyota,Land,2013,76358,"C45, Lagos",Automatic,Registered,0,16810000,Nigerian used
240,Honda,Cr-V,2007,187053,"C45, Lagos",Automatic,Registered,0,1802000,Nigerian used
241,Kia,Soul,2010,134157,"C45, Ibadan",Automatic,Registered,0,962000,Nigerian used
242,Lexus,Gs,2006,161163,"C45, Abuja",Automatic,Registered,SILVER,2810000,Nigerian used
243,Honda,Accord,2004,139673,"C45, ",Automatic,Registered,0,850000,Nigerian used
244,Ford,Edge,2007,302710,"C45, Lagos",Automatic,Registered,0,2810000,Nigerian used
245,Honda,Pilot,2009,119126,"C45, Lagos",Automatic,Registered,0,2698000,Nigerian used
246,Chevrolet,Captiva,2010,68517,"C45, Lagos",Automatic,Registered,BLACK,906000,Nigerian used
247,Mercedes-Benz,Ml500,2006,114463,"C45, Lagos",Automatic,Imported,GOLD,4602000,Foreign used
248,Honda,Accord,2005,180298,"C45, Lagos",Automatic,Registered,Blue,1354000,Nigerian used
249,Honda,Civic,2009,138540,"C45, Port",Automatic,Registered,Grey,1040400,Nigerian used
250,Toyota,Land,2010,137374,"C45, Lagos",Automatic,Registered,0,4490000,Nigerian used
251,Toyota,Camry,2003,61081,"C45, Lagos",Automatic,Registered,0,1107600,Nigerian used
252,Mercedes-Benz,C300,2015,47478,"C45, Abuja",Automatic,Registered,BLACK,10090000,Nigerian used
253,Toyota,Avalon,2006,0,"C45, ",Automatic,Registered,Blue,1354000,Nigerian used
254,Toyota,Rav4,2008,61056,"C45, Port",Automatic,Registered,Red,2026000,Nigerian used
255,Toyota,Highlander,2008,176453,"C45, Lagos",Automatic,Registered,GOLD,3370000,Nigerian used
256,Peugeot,406,1998,0,"C45, Ilorin",Manual,Registered,0,402000,Nigerian used
257,Honda,Cr-V,2008,92087,"C45, ",Automatic,Registered,0,2026000,Nigerian used
258,Acura,Mdx,2005,235602,"C45, Port",Automatic,Registered,0,906000,Nigerian used
259,Nissan,Altima,2016,115723,"C45, Lagos",Automatic,Registered,Silver,5162000,Nigerian used
260,Toyota,Highlander,2012,60341,"C45, Abuja",Automatic,Registered,Grey,8410000,Nigerian used
261,Kia,Rio,2014,106427,"C45, Lagos",Automatic,Registered,0,1690000,Nigerian used
262,Lexus,Gx,2006,107154,"C45, Lagos",Automatic,Registered,BLUE,3200000,Nigerian used
263,Toyota,Camry,2007,134125,"C45, Lagos",Automatic,Imported,SILVER,3258000,Foreign used
264,Honda,Cr-V,2008,188175,"C45, ",Automatic,Registered,SILVER,1466000,Nigerian used
265,Nissan,Pathfinder,2005,61938,"C45, Lagos",Automatic,Registered,GRAY,827600,Nigerian used
266,Toyota,Camry,2002,202319,"C45, Port",Automatic,Registered,0,1354000,Nigerian used
267,Kia,Sportage,2012,48740,"C45, Abuja",Automatic,Registered,RED,2698000,Nigerian used
268,Nissan,Xterra,2001,187202,"C45, Lagos",Automatic,Registered,Silver,682000,Nigerian used
269,Toyota,Corolla,2004,294113,"C45, Kaduna",Automatic,Imported,BLUE,2586000,Foreign used
270,Toyota,Camry,2007,222236,"C45, Lagos",Automatic,Imported,GOLD,3258000,Foreign used
271,Mercedes-Benz,C320,2007,114300,"C45, Abuja",Automatic,Imported,WHITE,2474000,Foreign used
272,Lexus,Rx,1999,250710,"C45, Ibadan",Automatic,Registered,WHITE,1387600,Nigerian used
273,Mercedes-Benz,Ml350,2005,220419,"C45, Lagos",Automatic,Registered,0,1690000,Nigerian used
274,Kia,Sportage,2008,207527,"C45, Lagos",Automatic,Registered,0,2082000,Nigerian used
275,Volkswagen,Golf,2010,95243,"C45, Kaduna",Automatic,Imported,RED,2586000,Foreign used
276,Toyota,Camry,2003,170253,"C45, ",Automatic,Registered,BLUE,1354000,Nigerian used
277,Hyundai,Palisade,2020,16073,"C45, ",Automatic,Registered,Black,16810000,Nigerian used
278,Toyota,Land,2015,67756,"C45, Lagos",Automatic,Registered,BLACK,14010000,Nigerian used
279,Toyota,Sienna,2011,148537,"C45, Lagos",Automatic,Imported,Gold,5050000,Foreign used
280,Mercedes-Benz,GLC,2016,22667,"C45, Abuja",Automatic,Registered,BLACK,11770000,Nigerian used
281,Hyundai,Tucson,2019,17122,"C45, Lagos",Automatic,Registered,BROWN,9530000,Nigerian used
