,Make,Model,Year,Mileage (KM),Location,Transmission,Selling Condition,Colour,Price,Used Location
4694,Toyota,Sienna,2001,306899,"C45, Port",Automatic,Registered,Red,1690000,Nigerian used
4695,Toyota,Highlander,2004,183618,"C45, Abuja",Automatic,Registered,GOLD,1820000,Nigerian used
4696,Toyota,Sequoia,2004,96606,"C45, Port",Automatic,Registered,Black,1018000,Nigerian used
4697,Honda,Pilot,2006,110130,"C45, ",Automatic,Imported,SILVER,2832500,Foreign used
4698,Kia,Cerato,2012,91579,"C45, Lagos",Automatic,Registered,BLACK,2270000,Nigerian used
4699,Toyota,Camry,2015,153448,"C45, Lagos",Automatic,Imported,BLACK,5386000,Foreign used
4700,Ford,Ranger,2012,167314,"C45, Abuja",Manual,Registered,BLACK,3732500,Nigerian used
4701,BMW,X5,2005,162812,"C45, Lagos",Automatic,Registered,SILVER,1022500,Nigerian used
4702,Hyundai,Elantra,2014,74289,"C45, Port",Automatic,Registered,0,2832500,Nigerian used
4703,Honda,Accord,2015,92234,"C45, Lagos",Automatic,Imported,0,5420000,Foreign used
4704,Lexus,Es,2007,113346,"C45, Owerri",Automatic,Registered,Black,3957500,Nigerian used
4705,Lexus,Es,2005,102119,"C45, Lagos",Automatic,Imported,BLACK,2945000,Foreign used
4706,Nissan,Qashqai,2013,48095,"C45, Lagos",Automatic,Registered,RED,2438750,Nigerian used
4707,Saturn,VUE,2007,159324,"C45, Lagos",Automatic,Imported,SILVER,2101250,Foreign used
4708,Hyundai,Sonata,2011,146206,"C45, ",Automatic,Imported,BLUE,2832500,Foreign used
4709,Lexus,Rx,1999,143810,"C45, Lagos",Automatic,Registered,Gold,1191250,Nigerian used
4710,Ford,Edge,2008,224799,"C45, Lagos",Automatic,Registered,WINE,2250000,Nigerian used
4711,Honda,Accord,2011,90062,"C45, Lagos",Automatic,Registered,SILVER,1482500,Nigerian used
4712,Bentley,Continental,2006,92570,"C45, Lagos",Automatic,Imported,0,13510000,Foreign used
4713,Nissan,Pathfinder,2005,0,"C45, Owerri",Automatic,Registered,GREY,1370000,Nigerian used
4714,Honda,Accord,2009,181181,"C45, Lagos",Automatic,Imported,BLACK,2832500,Foreign used
4715,Mercedes-Benz,R350,2009,195219,"C45, Ibadan",Automatic,Imported,WHITE,3385000,Foreign used
4716,Audi,Q7,2012,125758,"C45, Abuja",Automatic,Registered,BLACK,9582500,Nigerian used
4717,Honda,Accord,2009,122632,"C45, Lagos",Automatic,Registered,BLACK,3845000,Nigerian used
4718,Land,Range,2006,60229,"C45, Port",Automatic,Registered,Blue,2832500,Nigerian used
4719,Land,Lr2,2008,146207,"C45, ",Automatic,Imported,GOLD,3160000,Foreign used
4720,Jaguar,S-Type,1999,132138,"C45, Onitsha",Automatic,Registered,Black,920000,Nigerian used
4721,Lexus,Es,2011,103295,"C45, Lagos",Automatic,Registered,Grey,3395000,Nigerian used
4722,Toyota,Highlander,2008,127260,"C45, Abuja",Automatic,Registered,BLACK,4520000,Nigerian used
4723,Honda,Accord,2016,23457,"C45, Ibadan",Automatic,Imported,0,5532500,Foreign used
4724,Ford,Escape,2008,192120,"C45, ",Automatic,Registered,Red,1482500,Nigerian used
4725,Toyota,4Runner,2003,108194,"C45, Onitsha",Automatic,Registered,0,1932500,Nigerian used
4726,Nissan,Pathfinder,2001,165828,"C45, Onitsha",Automatic,Registered,Green,920000,Nigerian used
4727,Toyota,Rav4,2007,112226,"C45, Abuja",Automatic,Imported,GOLD,3507500,Foreign used
4728,Toyota,HiAce,2005,200932,"C45, Owerri",Automatic,Registered,Black,3395000,Nigerian used
4729,Hyundai,Creta,2016,62275,"C45, Abuja",Automatic,Registered,Blue,6207500,Nigerian used
4730,Kia,Cerato,2019,8949,"C45, ",Automatic,Registered,BLACK,8457500,Nigerian used
4731,Honda,Civic,2011,82706,"C45, Lagos",Automatic,Registered,BLACK,2832500,Nigerian used
4732,Ford,Escape,2014,44655,"C45, Abuja",Automatic,Registered,Silver,5645000,Nigerian used
4733,Honda,Pilot,2008,173255,"C45, Onitsha",Automatic,Registered,Red,1707500,Nigerian used
4734,Nissan,Maxima,2001,326952,"C45, ",Automatic,Registered,BLUE,582500,Nigerian used
4735,Ford,Escape,2008,201082,"C45, ",Automatic,Imported,Grey,2607500,Foreign used
4736,Toyota,Highlander,2002,106334,"C45, Abuja",Automatic,Registered,Silver,1707500,Nigerian used
4737,Mercedes-Benz,Gl550,2008,74007,"C45, Abuja",Automatic,Registered,0,3395000,Nigerian used
4738,Honda,Accord,2008,92502,"C45, Abuja",Automatic,Registered,SLIVER,1763750,Nigerian used
4739,Mazda,Cx-7,2009,194538,"C45, ",Automatic,Registered,Black,2270000,Nigerian used
4740,Mercedes-Benz,Ml500,2006,82908,"C45, Lagos",Automatic,Registered,BLACK,2832500,Nigerian used
4741,Toyota,Highlander,2003,126459,"C45, ",Automatic,Imported,black,3170000,Foreign used
4742,Audi,A4,2000,381801,"C45, Lagos",Manual,Imported,BLUE,695000,Foreign used
4743,Mazda,323,2000,288530,"C45, Lagos",Manual,Registered,BLUE,807500,Nigerian used
4744,Honda,Pilot,2007,79873,"C45, Lagos",Automatic,Imported,BLACK,1763750,Foreign used
4745,Lexus,Rx,1999,95268,"C45, Lagos",Automatic,Registered,0,1370000,Nigerian used
4746,Nissan,Pathfinder,2003,0,"C45, Owerri",Automatic,Registered,Silver,807500,Nigerian used
4747,BMW,7,2009,82742,"C45, Lagos",Automatic,Imported,Black,6770000,Foreign used
4748,Land,Range,2008,65687,"C45, Abuja",Automatic,Registered,Red,4182500,Nigerian used
4749,Acura,Mdx,2010,57429,"C45, Ibadan",Automatic,Imported,Red,3957500,Foreign used
4750,Mercedes-Benz,C350,2009,77475,"C45, Abuja",Automatic,Registered,Grey,3395000,Nigerian used
4751,Blue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,976250,
4752,Lexus,Is,2016,130124,"C45, Port",Automatic,Registered,GREY,11832500,Nigerian used
4753,BMW,5,2008,69211,"C45, Port",Automatic,Registered,BLACK,2822500,Nigerian used
4754,Toyota,Camry,2012,141048,"C45, Port",Automatic,Imported,BLACK,4520000,Foreign used
4755,Acura,Mdx,2012,76943,"C45, Abuja",Automatic,Registered,BLACK,3957500,Nigerian used
4756,Suzuki,Swift,2012,38973,"C45, Lagos",Automatic,Registered,Red,2270000,Nigerian used
4757,Hyundai,Sonata,2011,76696,"C45, Lagos",Automatic,Registered,RED,3226250,Nigerian used
4758,Lexus,Rx,2001,97519,"C45, Onitsha",Automatic,Registered,Black,1426250,Nigerian used
4759,Lexus,Rx,2010,91297,"C45, Onitsha",Automatic,Registered,Black,6095000,Nigerian used
4760,Land,Range,2010,74345,"C45, Owerri",Automatic,Registered,WHITE,3395000,Nigerian used
4761,Toyota,Camry,2012,83009,"C45, Abuja",Automatic,Registered,Black,3620000,Nigerian used
4762,Nissan,Pathfinder,2000,234628,"C45, Abuja",Manual,Registered,GREY,807500,Nigerian used
4763,Mercedes-Benz,E200,2002,166031,"C45, Lagos",Automatic,Registered,Blue,920000,Nigerian used
4764,Toyota,Camry,2007,146446,"C45, ",Automatic,Registered,Blue,2270000,Nigerian used
4765,Toyota,Sienna,2005,207319,"C45, Owerri",Automatic,Registered,Gold,2270000,Nigerian used
4766,Lexus,Gx470,2004,212852,"C45, Abuja",Automatic,Imported,BLUE,3732500,Foreign used
4767,Honda,Pilot,2013,90164,"C45, Lagos",Automatic,Imported,GREY,5070000,Foreign used
4768,Mercedes-Benz,C240,2005,194340,"C45, Abuja",Automatic,Imported,BLACK,3170000,Foreign used
4769,Ford,Ranger,2010,113588,"C45, Port",Manual,Registered,Silver,1932500,Nigerian used
4770,Lexus,Rx,2005,123130,"C45, Owerri",Automatic,Registered,BLACK,3395000,Nigerian used
4771,Nissan,Sunny,2006,283212,"C45, ",Automatic,Registered,WHITE,751250,Nigerian used
4772,Land,Range,2012,108321,"C45, Abuja",Automatic,Registered,Black,9020000,Nigerian used
4773,Honda,Accord,2006,148309,"C45, Lagos",Automatic,Registered,Black,920000,Nigerian used
4774,Hyundai,Sonata,2011,132590,"C45, Lagos",Automatic,Registered,SILVER,2945000,Nigerian used
4775,Toyota,Land,2012,198813,"C45, Lagos",Automatic,Registered,Black,9020000,Nigerian used
4776,Kia,Sorento,2003,354888,"C45, ",Automatic,Registered,Black,807500,Nigerian used
4777,Mercedes-Benz,Ml63,2008,102118,"C45, Abuja",Automatic,Registered,BLACK,3957500,Nigerian used
4778,Nissan,Pathfinder,2007,99267,"C45, Onitsha",Automatic,Imported,Black,1820000,Foreign used
4779,Hyundai,Elantra,2008,104670,"C45, Port",Automatic,Imported,0,1932500,Foreign used
4780,Ford,Windstar,2003,176974,"C45, Abuja",Automatic,Imported,BLACK,1257500,Foreign used
4781,Land,Lr4,2010,103699,"C45, Abuja",Automatic,Registered,WHITE,2832500,Nigerian used
4782,Honda,Accord,1997,180438,"C45, Lagos",Automatic,Registered,Green,413750,Nigerian used
4783,Volkswagen,Passat,2010,120733,"C45, Lagos",Automatic,Registered,Brown,2270000,Nigerian used
4784,Honda,Accord,2008,132175,"C45, Abuja",Automatic,Registered,grey,1370000,Nigerian used
4785,Infiniti,G,2005,89054,"C45, Lagos",Automatic,Imported,BLACK,1707500,Foreign used
4786,Ssangyong,Rexton,2006,130715,"C45, Lagos",Automatic,Registered,blue,582500,Nigerian used
4787,Toyota,Camry,2012,72050,"C45, Abuja",Automatic,Imported,0,4745000,Foreign used
4788,Volvo,S60,2002,999999,"C45, Abuja",Automatic,Registered,GREEN,863750,Nigerian used
4789,Mitsubishi,Montero,2002,254406,"C45, Lagos",Automatic,Registered,Silver,863750,Nigerian used
4790,Toyota,Camry,2010,10444,"C45, Abuja",Automatic,Imported,Grey,3620000,Foreign used
4791,Volkswagen,Passat,2001,141667,"C45, Lagos",Manual,Imported,Silver,1145000,Foreign used
4792,Land,Range,2006,147190,"C45, Lagos",Automatic,Registered,0,2270000,Nigerian used
4793,Ford,F-150,1998,278269,"C45, Port",Automatic,Registered,0,1707500,Nigerian used
4794,Honda,Accord,2010,0,"C45, Ilorin",Automatic,Registered,0,2270000,Nigerian used
4795,Hyundai,Sonata,2011,274446,"C45, Port",Automatic,Registered,0,2382500,Nigerian used
4796,Lexus,Is,2008,212577,"C45, Lagos",Automatic,Registered,BLACK,3001250,Nigerian used
4797,Toyota,Hilux,2006,172299,"C45, Port",Manual,Registered,0,3957500,Nigerian used
4798,BMW,X5,2006,109009,"C45, Abuja",Automatic,Registered,BLACK,2270000,Nigerian used
4799,Suzuki,Grand,2014,0,"C45, Lagos",Manual,Registered,Black,1707500,Nigerian used
4800,Suzuki,Swift,2012,0,"C45, Lagos",Manual,Registered,Grey,1145000,Nigerian used
4801,Suzuki,Grand,2014,0,"C45, Lagos",Automatic,Registered,Black,1707500,Nigerian used
4802,Saturn,VUE,2007,195778,"C45, Abuja",Automatic,Registered,Brown,1707500,Nigerian used
4803,Toyota,Coaster,2011,0,"C45, Lagos",Manual,Registered,White,5645000,Nigerian used
4804,Suzuki,Grand,2014,0,"C45, Lagos",Manual,Registered,Silver,13520000,Nigerian used
4805,Mercedes-Benz,C300,2008,97044,"C45, Abuja",Automatic,Registered,Black,2270000,Nigerian used
